hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
0	N	2.5		Black	N 2.5/	00N2.5	0.2353	0.2353	0.2353	60	60	60	3C3C3C
0	N	3		Very Dark Gray	N 3/	00N3	0.2824	0.2824	0.2824	72	72	72	484848
0	N	4		Dark Gray	N 4/	00N4	0.3765	0.3765	0.3765	96	96	96	606060
0	N	5		Gray	N 5/	00N5	0.4745	0.4745	0.4745	121	121	121	797979
0	N	6		Gray	N 6/	00N6	0.5765	0.5765	0.5765	147	147	147	939393
0	N	7		Light Gray	N 7/	00N7	0.6784	0.6784	0.6784	173	173	173	ADADAD
0	N	8.5		White	N 8.5/	00N8.5	0.8353	0.8353	0.8353	213	213	213	D5D5D5
0	N	8		White	N 8/	00N8	0.7843	0.7843	0.7843	200	200	200	C8C8C8
0	N	9.5		White	N 9.5/	00N9.5	0.9451	0.9451	0.9451	241	241	241	F1F1F1
0	N	9		White	N 9/	00N9	0.8902	0.8902	0.8902	227	227	227	E3E3E3
2.5	Y	2.5	1	Black	2.5Y 2.5/1	02.5Y2.5/1	0.2549	0.2314	0.2	65	59	51	413B33
2.5	Y	3	1	Very Dark Gray	2.5Y 3/1	02.5Y3/1	0.302	0.2784	0.2431	77	71	62	4D473E
2.5	Y	3	2	Very Dark Grayish Brown	2.5Y 3/2	02.5Y3/2	0.3176	0.2745	0.2039	81	70	52	514634
2.5	Y	3	3	Dark Olive Brown	2.5Y 3/3	02.5Y3/3	0.3333	0.2706	0.1647	85	69	42	55452A
2.5	Y	4	1	Dark Gray	2.5Y 4/1	02.5Y4/1	0.4	0.3725	0.3333	102	95	85	665F55
2.5	Y	4	2	Dark Grayish Brown	2.5Y 4/2	02.5Y4/2	0.4196	0.3725	0.2863	107	95	73	6B5F49
2.5	Y	4	3	Olive Brown	2.5Y 4/3	02.5Y4/3	0.4392	0.3686	0.2471	112	94	63	705E3F
2.5	Y	4	4	Olive Brown	2.5Y 4/4	02.5Y4/4	0.451	0.3647	0.2	115	93	51	735D33
2.5	Y	5	1	Gray	2.5Y 5/1	02.5Y5/1	0.502	0.4745	0.4314	128	121	110	80796E
2.5	Y	5	2	Grayish Brown	2.5Y 5/2	02.5Y5/2	0.5216	0.4706	0.3843	133	120	98	857862
2.5	Y	5	3	Light Oilve Brown	2.5Y 5/3	02.5Y5/3	0.5373	0.4667	0.3412	137	119	87	897757
2.5	Y	5	4	Light Olive Brown	2.5Y 5/4	02.5Y5/4	0.5569	0.4667	0.2941	142	119	75	8E774B
2.5	Y	5	6	Light Olive Brown	2.5Y 5/6	02.5Y5/6	0.5843	0.4588	0.1882	149	117	48	957530
2.5	Y	6	1	Gray	2.5Y 6/1	02.5Y6/1	0.6	0.5765	0.5294	153	147	135	999387
2.5	Y	6	2	Light Brownish Gray	2.5Y 6/2	02.5Y6/2	0.6196	0.5725	0.4784	158	146	122	9E927A
2.5	Y	6	3	Light Yellowish Brown	2.5Y 6/3	02.5Y6/3	0.6392	0.5686	0.4353	163	145	111	A3916F
2.5	Y	6	4	Light Yellowish Brown	2.5Y 6/4	02.5Y6/4	0.6588	0.5686	0.3882	168	145	99	A89163
2.5	Y	6	6	Olive Yellow	2.5Y 6/6	02.5Y6/6	0.6902	0.5608	0.2902	176	143	74	B08F4A
2.5	Y	6	8	Olive Yellow	2.5Y 6/8	02.5Y6/8	0.7137	0.5569	0.1765	182	142	45	B68E2D
2.5	Y	7	1	Light Gray	2.5Y 7/1	02.5Y7/1	0.702	0.6784	0.6275	179	173	160	B3ADA0
